Name,Latitude,Longitude
کاروانسرای قلعه شهداد,30.544254,57.772377
کاروانسرای قلعه شور ,32.503863,51.75347
کاروانسرای رباط ده چاهک,33.281254,58.910111
 کاروانسرا_شریفیه,34.8007724,48.5140931
 کاروانسرای_مشیری_خان_زنیان,29.6737124,52.1458524
 Jelowgir_Caravanserai _کاروانسرای_جلوگیر,33.2109678,50.7403625
 Shuryab_Caravansari,36.1663285,58.3939862
 کاروانسرای_تاریخی_خرزان,36.511547,49.6234984
 Zein-o-din_Caravanserai,31.4117252,54.7069359
 کاروانسرای_سنگ_کلیدر,36.1581979,58.2528886
 کاروانسرای_گچین,27.1449374,55.8771766
 کاروانسرای_خونسرخ,27.1436751,56.0834828
 کاروانسرا_بند_حسن,26.845,55.3858333
 کاروانسرا_کهورستان,27.2126461,55.5783108
 Pole_Dallak_Adobe_Caravansary,34.7963011,51.0482177
 کاروانسرای_گوشه_شینشا,33.3962727,48.2815258
 کاروانسرا,30.4197782,53.2149856
 کاروانسرای_شاه_عباس,37.6767496,47.0867385
 کاروانسرای_مشجری_شهر_انارک,33.4470928,54.0913295
 کاروانسرای_فخرآباد,34.7446688,58.0552869
 کاروانسرای_رباط_سفید,35.781698,59.3868277
 اقامتگاه_بوم_گردی_کاروانسرا_شاه_عباسی,38.953874,47.0219605
 کاروانسرای_پاریز,29.8710896,55.7499343
 Darband_caravanserai,31.6708785,56.9458529
 Abbasi_Caravanserai,32.4941806,52.2711222
 Safavieh_Aminabad_Caravanserai,31.6726953,52.0684469
 Vakil_‌Caravanserai,30.2913403,57.0807371
 کاروانسرای_نظام_الدوله,36.0275775,59.5051959
 Historical_Caravansary,31.7070625,50.2869289
 Haj_Mirza_Mohammad_Akbarzadeh_Historic_Caravanserai,35.0239109,50.3996646
 Shah_Abbasi_Caravanserai,36.1971859,58.8015442
 Caravanserai,33.8552147,58.5179968
 Abbasabad_ShahAbbasi_Caravanserai,36.3614683,56.3879526
 کاروانسرای_شاه_عباسی_سمنان,35.5738154,53.389817
 Shah_Abbasi_Caravanserai,34.4037766,49.6239972
 Alborz_Caravansary,34.7285204,50.972014
 کاروانسرای_خواجه_قاسم_نطنزی,33.7318871,51.6954364
 Desert_Paradise_Caravanserai_(Hotel),32.1532686,54.4770985
 Vardeh_Historical_Caravanserai,35.2581657,50.2703315
 کاروانسرای_سراسیاب_شش,30.5319865,56.955371
 Mohammad_Abad_Stony_Caravansary,34.84,51.1469311
 Sepahsalar_Amiryeh_Caravanserai,36.0275531,54.1438222
 برکه_های_کاروانسرا_جنگو,27.1976963,55.7088445
 کاروانسرای_گمرک,29.6159676,52.5478997
 کاروانسرای_چمشک,33.2380818,48.2113136
 کاروانسرا_دوپلان,31.9176343,50.5959594
 Shah_Abbasi_Caravansary,35.8101895,51.0012589
 Caravanserai_Zakikani,29.7748032,52.7233095
 Shah_Abbasi_Caravansary,34.4879659,48.282993
 کاروانسرای_تاریخی_خان,38.5501399,44.9594427
 کاروانسرای_افضل,32.043959,48.8521209
 Mozaffarian_Caravanserai,30.1951667,53.1682574
 AllahQoli_Caravansary,34.5555424,50.4842752
 کاروانسرای_الاکی_هرزند_عتیق,38.6445845,45.6778314
 Poi_Ostona_Caravanserai,39.774612,64.4199806
 کاروانسرا_دوره_ساخت_شاه_عباس,36.7731045,58.8014128
 Faramarz_Khan_Caravansary,36.2065753,57.6854563
 کاروانسرا_برکه_سفبد,27.3039358,55.3017446
 کاروانسرا_بوستانو,27.0810284,55.9929408
 کاروانسرای_گلشن,27.682848,54.3386025
 آب_انبار_کاروانسرا,31.9508954,54.272242
 Shah_Abbasi_Caravanserai,33.957778,49.991944
 Sadri_Caravansary,34.6706997,50.8169281
 Robat_Shur_Caravanserai_کاروانسرای_رباط_شور,33.8616695,57.8040619
 کاروانسرای_ارجنان_عقدا-اردکان,32.3288627,53.8038804
 Pole_Dallak_Brick_Caravansary,34.7964531,51.0475203
 Anarak_Caravanserai,33.311803,53.7003753
 کاروانسرای_شاه_عباسی,35.588805,51.4371672
 کاروانسرا_غیب_الله,27.3021676,54.4720149
 BaqerAbad_Caravansary,34.9302947,50.8235237
 هتل_کاروانسرای_شمسی,32.1055419,54.1189041
 کاروانسرای_تاریخی_بلاد_شاپور,30.7880556,50.5616667
 کاروانسرا_برکه_سلطان,27.2429244,55.5108214
